fixture_id,date,home_team,away_team,group,status,home_score,away_score,sede_pais,venue_key
66456904,2026-06-11,Mexico,South Africa,A,Complete,2.0,0.0,Mexico,
66456906,2026-06-11,South Korea,Czechia,A,Complete,2.0,1.0,Sin ventaja de anfitrión,
66456910,2026-06-18,Czechia,South Africa,A,Complete,1.0,1.0,Sin ventaja de anfitrión,
66456908,2026-06-18,Mexico,South Korea,A,Complete,1.0,0.0,Mexico,
66456912,2026-06-24,Czechia,Mexico,A,Scheduled,,,Mexico,
66456914,2026-06-24,South Africa,South Korea,A,Scheduled,,,Sin ventaja de anfitrión,
66456916,2026-06-12,Canada,Bosnia and Herzegovina,B,Complete,1.0,1.0,Canada,
66456918,2026-06-13,Qatar,Switzerland,B,Complete,1.0,1.0,Sin ventaja de anfitrión,
66456922,2026-06-18,Switzerland,Bosnia and Herzegovina,B,Complete,4.0,1.0,Sin ventaja de anfitrión,
66456920,2026-06-18,Canada,Qatar,B,Complete,6.0,0.0,Canada,
66456924,2026-06-24,Switzerland,Canada,B,Scheduled,,,Canada,
66456926,2026-06-24,Bosnia and Herzegovina,Qatar,B,Scheduled,,,Sin ventaja de anfitrión,
66456928,2026-06-13,Brazil,Morocco,C,Complete,1.0,1.0,Sin ventaja de anfitrión,
66456930,2026-06-13,Haiti,Scotland,C,Complete,0.0,1.0,Sin ventaja de anfitrión,
66456934,2026-06-19,Scotland,Morocco,C,Complete,0.0,1.0,Sin ventaja de anfitrión,
66456932,2026-06-19,Brazil,Haiti,C,Complete,3.0,0.0,Sin ventaja de anfitrión,
66456936,2026-06-24,Scotland,Brazil,C,Scheduled,,,Sin ventaja de anfitrión,
66456938,2026-06-24,Morocco,Haiti,C,Scheduled,,,Sin ventaja de anfitrión,
66456940,2026-06-12,United States,Paraguay,D,Complete,4.0,1.0,United States,
66456942,2026-06-14,Australia,Turkey,D,Complete,2.0,0.0,Sin ventaja de anfitrión,
66456944,2026-06-19,United States,Australia,D,Complete,2.0,0.0,United States,
66456946,2026-06-19,Turkey,Paraguay,D,Complete,0.0,1.0,Sin ventaja de anfitrión,
66456948,2026-06-25,Turkey,United States,D,Scheduled,,,United States,
66456950,2026-06-25,Paraguay,Australia,D,Scheduled,,,Sin ventaja de anfitrión,
66457070,2026-06-14,Germany,Curacao,E,Complete,7.0,1.0,Sin ventaja de anfitrión,
66457072,2026-06-14,Ivory Coast,Ecuador,E,Complete,1.0,0.0,Sin ventaja de anfitrión,
66457074,2026-06-20,Germany,Ivory Coast,E,Scheduled,,,Sin ventaja de anfitrión,
66457076,2026-06-20,Ecuador,Curacao,E,Scheduled,,,Sin ventaja de anfitrión,
66457078,2026-06-25,Ecuador,Germany,E,Scheduled,,,Sin ventaja de anfitrión,
66457080,2026-06-25,Curacao,Ivory Coast,E,Scheduled,,,Sin ventaja de anfitrión,
66456968,2026-06-14,Netherlands,Japan,F,Complete,2.0,2.0,Sin ventaja de anfitrión,
66456970,2026-06-14,Sweden,Tunisia,F,Complete,5.0,1.0,Sin ventaja de anfitrión,
66456972,2026-06-20,Netherlands,Sweden,F,Scheduled,,,Sin ventaja de anfitrión,
